contracts_id,contracts_dateEnd,contracts_image,contracts_name,contracts_shortName,contracts_status,contracts_lastTradePrice,contracts_bestBuyYesCost,contracts_bestBuyNoCost,contracts_bestSellYesCost,contracts_bestSellNoCost,contracts_lastClosePrice,contracts_displayOrder,id
31399,NA,https://az620379.vo.msecnd.net/images/Contracts/small_b768dd16-dd16-4553-9646-256708eaf302.jpg,Michelle Obama,Obama,Open,0.05,0.06,0.95,0.05,0.94,0.06,0,7057
24810,NA,https://az620379.vo.msecnd.net/images/Contracts/small_b5d5cb16-9f8a-4cf0-a428-c84fda98a31d.jpg,Hillary Clinton,Clinton,Open,0.04,0.05,0.96,0.04,0.95,0.04,0,7057
31202,NA,https://az620379.vo.msecnd.net/images/Contracts/small_d7daf287-053b-4bf6-8d9c-116583efff70.jpg,Gretchen Whitmer,Whitmer,Open,0.04,0.05,0.96,0.04,0.95,0.05,0,7057
24809,NA,https://az620379.vo.msecnd.net/images/Contracts/small_8ee3b203-848a-44c2-928f-a29fe97685bc.jpg,Bernie Sanders,Sanders,Open,0.01,0.01,,,0.99,0.01,0,7057
24811,NA,https://az620379.vo.msecnd.net/images/Contracts/small_87412471-a5b6-4b74-bcc4-685106982248.jpg,Pete Buttigieg,Buttigieg,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,7057
24812,NA,https://az620379.vo.msecnd.net/images/Contracts/small_322243ef-da30-4199-aef3-7bdf8175fbe4.jpg,Elizabeth Warren,Warren,Open,0.01,0.01,,,0.99,0.01,0,7057
24816,NA,https://az620379.vo.msecnd.net/images/Contracts/small_5b927e73-c6a1-474e-90b8-73e265392785.jpg,A. Ocasio-Cortez,AOC,Open,0.01,0.01,,,0.99,0.01,0,7057
28288,NA,https://az620379.vo.msecnd.net/images/Contracts/small_ec55b431-9c26-4d8d-807c-1917dc4d612a.jpg,Sherrod Brown,Brown,Open,0.01,0.01,,,0.99,0.01,0,7057
28289,NA,https://az620379.vo.msecnd.net/images/Contracts/small_f646ee92-fe02-4850-bef9-358c4e1c59d1.jpg,Stacey Abrams,Abrams,Open,0.01,0.01,,,0.99,0.01,0,7057
29705,NA,https://az620379.vo.msecnd.net/images/Contracts/small_3cbf4f5f-5842-42ce-884f-a08c8a210794.jpg,Amy Klobuchar,Klobuchar,Open,0.01,0.01,,,0.99,0.01,0,7057
31067,NA,https://az620379.vo.msecnd.net/images/Contracts/small_4d57e9a8-9b8f-4b3b-ae34-807f40b11759.png,JB Pritzker,Pritzker,Open,0.01,0.02,0.99,0.01,0.98,0.02,0,7057
31226,NA,https://az620379.vo.msecnd.net/images/Contracts/small_afcbd56b-265a-4ae8-a2b6-693899b708a9.png,Robert Kennedy Jr.,RFK Jr.,Open,0.01,0.01,,,0.99,0.01,0,7057
31397,NA,https://az620379.vo.msecnd.net/images/Contracts/small_bf71c5ee-548b-4026-865b-25c93130d86d.png,Josh Shapiro,Shapiro,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,7057
31398,NA,https://az620379.vo.msecnd.net/images/Contracts/small_ce58eef9-b47d-44c7-8d09-19e4b712d1ae.png,Andy Beshear,Beshear,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,7057
31400,NA,https://az620379.vo.msecnd.net/images/Contracts/small_04db95ab-2e1e-49af-8078-f990d0234487.jpg,Raphael Warnock,Warnock,Open,0.01,0.01,,,0.99,0.01,0,7057
31401,NA,https://az620379.vo.msecnd.net/images/Contracts/small_1c092424-296b-4077-8fb1-b6f39c071e33.jpg,Wes Moore,Moore,Open,0.01,0.01,,,0.99,0.01,0,7057
31402,NA,https://az620379.vo.msecnd.net/images/Contracts/small_8d29342a-08b9-4370-a56e-98257e1949ca.png,Mark Kelly,Kelly,Open,0.01,0.01,,,0.99,0.01,0,7057
31403,NA,https://az620379.vo.msecnd.net/images/Contracts/small_a0aaadc4-ebc9-4c95-b2d4-f64c291b42b8.jpg,Roy Cooper,Cooper,Open,0.01,0.01,,,0.99,0.01,0,7057
25232,2025-01-20T11:59:00,https://az620379.vo.msecnd.net/images/Contracts/small_5f1bcacc-8162-4152-ab4a-475c68e7100c.jpg,Will Joe Biden resign during his first term?,Will Biden resign during his first term?,Open,0.18,0.18,0.83,0.17,0.82,0.19,0,7136
25411,NA,https://az620379.vo.msecnd.net/images/Contracts/small_e2170e96-4e62-4543-96f8-ee541143d508.jpg,South Carolina,South Carolina,Open,0.83,0.83,0.18,0.82,0.17,0.83,0,7158
25412,NA,https://az620379.vo.msecnd.net/images/Contracts/small_6908799e-f678-42a2-a637-9898f79ba842.jpg,New Hampshire,New Hampshire,Open,0.11,0.11,0.9,0.1,0.89,0.1,0,7158
25409,NA,https://az620379.vo.msecnd.net/images/Contracts/small_c4e2bbd1-f530-4037-9713-2f77f217990c.jpg,Iowa,Iowa,Open,0.01,0.01,,,0.99,0.01,0,7158
25410,NA,https://az620379.vo.msecnd.net/images/Contracts/small_6cffeb7b-fc42-47bb-b764-a8c93163a41b.jpg,Nevada,Nevada,Open,0.01,0.01,,,0.99,0.01,0,7158
29674,NA,https://az620379.vo.msecnd.net/images/Contracts/small_1557353a-af38-4fa3-bb31-7c8402cc8935.jpg,New Jersey,New Jersey,Open,0.01,0.01,,,0.99,0.01,0,7158
29825,NA,https://az620379.vo.msecnd.net/images/Contracts/small_324a42b0-c57e-414f-b49f-8a13935aa012.jpg,Michigan,Michigan,Open,0.01,0.01,,,0.99,0.01,0,7158
29939,NA,https://az620379.vo.msecnd.net/images/Contracts/small_eec8cc13-fe44-49f7-b7f4-f52d58ef55a2.jpg,Minnesota,Minnesota,Open,0.01,0.01,,,0.99,0.01,0,7158
27224,NA,https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,Will Kamala Harris be the 47th US president?,Harris the 47th US president?,Open,0.23,0.23,0.78,0.22,0.77,0.28,0,7419
27485,NA,https://az620379.vo.msecnd.net/images/Contracts/small_3c10062b-0942-4fc3-9ace-bb6abdb790ff.jpg,Donald Trump,Trump,Open,0.67,0.67,0.34,0.66,0.33,0.65,0,7456
27486,NA,https://az620379.vo.msecnd.net/images/Contracts/small_4c64890a-503c-454c-b02e-732319f1459f.jpg,Joe Biden,Biden,Open,0.26,0.27,0.74,0.26,0.73,0.25,0,7456
27487,NA,https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg,Kamala Harris,Harris,Open,0.11,0.12,0.89,0.11,0.88,0.14,0,7456
31066,NA,https://az620379.vo.msecnd.net/images/Contracts/small_a898b196-9a0f-454e-99fe-36e21c62f343.jpg,Gavin Newsom,Newsom,Open,0.05,0.05,0.96,0.04,0.95,0.05,0,7456
31296,NA,https://az620379.vo.msecnd.net/images/Contracts/small_afcbd56b-265a-4ae8-a2b6-693899b708a9.png,Robert Kennedy Jr.,RFK Jr.,Open,0.03,0.04,0.97,0.03,0.96,0.02,0,7456
27484,NA,https://az620379.vo.msecnd.net/images/Contracts/small_1d8cb077-b0ce-456e-aadc-57fc4d88dcd7.png,Ron DeSantis,DeSantis,Open,0.01,0.01,,,0.99,0.01,0,7456
28624,NA,https://az620379.vo.msecnd.net/images/Contracts/small_87412471-a5b6-4b74-bcc4-685106982248.jpg,Pete Buttigieg,Buttigieg,Open,0.01,0.02,0.99,0.01,0.98,0.01,0,7456
31294,NA,https://az620379.vo.msecnd.net/images/Contracts/small_88c5c8fe-3175-4907-9375-0f63071d1aab.png,Vivek Ramaswamy,Ramaswamy,Open,0.01,0.01,,,0.99,0.01,0,7456
31295,NA,https://az620379.vo.msecnd.net/images/Contracts/small_958885c8-c04c-4ad3-b64e-fe33e9af83cc.jpg,Tim Scott,Scott,Open,0.01,0.01,,,0.99,0.01,0,7456
